Row,Recency,Frequency,Monetary
765,1402,1,6507
766,1401,1,6941
767,1400,1,6576
768,1399,1,5985
769,1398,1,4789
770,1397,1,3263
771,1396,1,4180
772,1395,1,6371
773,1394,1,6648
774,1393,1,6501
775,1392,1,6088
776,1391,1,4376
777,1390,1,2733
778,1389,1,3953
779,1388,1,6108
780,1387,1,5668
781,1386,1,6159
782,1385,1,5810
783,1384,1,4491
784,1383,1,3110
785,1382,1,4418
786,1381,1,6529
787,1380,1,5756
788,1379,1,5716
789,1378,1,5323
790,1377,1,4280
791,1376,1,2982
792,1375,1,4365
793,1374,1,6627
794,1373,1,6467
795,1372,1,6631
796,1371,1,6378
797,1370,1,4767
798,1369,1,3501
799,1368,1,4647
800,1367,1,6336
801,1366,1,6222
802,1365,1,5527
803,1364,1,4267
804,1363,1,3733
805,1362,1,3299
806,1361,1,4530
807,1360,1,6908
808,1359,1,7714
809,1358,1,7490
810,1357,1,7190
811,1356,1,5391
812,1355,1,3575
813,1354,1,5285
814,1353,1,7330
815,1352,1,7489
816,1351,1,7345
817,1350,1,6679
818,1349,1,5403
819,1348,1,3573
820,1347,1,4834
821,1346,1,6905
822,1345,1,6743
823,1344,1,6201
824,1343,1,5571
825,1342,1,3872
826,1341,1,2613
827,1340,1,3109
828,1339,1,4324
829,1338,1,4226
830,1337,1,3991
831,1336,1,3160
832,1335,1,2386
833,1334,1,1115
834,1333,1,1387
835,1332,1,2147
836,1331,1,2686
837,1330,1,2885
838,1329,1,2694
839,1328,1,2273
840,1327,1,1188
841,1326,1,1447
842,1325,1,2568
843,1324,1,3566
844,1323,1,3941
845,1322,1,3841
846,1321,1,3261
847,1320,1,2241
848,1319,1,2679
849,1318,1,4182
850,1317,1,4236
851,1316,1,4628
852,1315,1,4205
853,1314,1,3459
854,1313,1,2448
855,1312,1,2853
856,1311,1,4638
857,1310,1,5325
858,1309,1,4866
859,1308,1,4715
860,1307,1,3753
861,1306,1,2481
862,1305,1,3233
863,1304,1,5034
864,1303,1,4787
865,1302,1,4901
866,1301,1,4398
867,1300,1,3823
868,1299,1,2619
869,1298,1,3518
870,1297,1,5178
871,1296,1,5290
872,1295,1,5469
873,1294,1,5399
874,1293,1,4232
875,1292,1,2828
876,1291,1,3724
877,1290,1,5733
878,1289,1,5814
879,1288,1,5349
880,1287,1,5025
881,1286,1,4044
882,1285,1,2323
883,1284,1,3147
884,1283,1,4972
885,1282,1,4878
886,1281,1,5288
887,1280,1,4968
888,1279,1,3788
889,1278,1,2514
890,1277,1,3463
891,1276,1,4931
892,1275,1,5101
893,1274,1,5144
894,1273,1,4433
895,1272,1,3597
896,1271,1,2621
897,1270,1,3397
898,1269,1,5062
899,1268,1,4926
900,1267,1,4936
901,1266,1,4688
902,1265,1,3827
903,1264,1,2452
904,1263,1,3283
905,1262,1,4823
906,1261,1,4821
907,1260,1,5059
908,1259,1,4585
909,1258,1,3682
910,1257,1,2350
911,1256,1,3056
912,1255,1,4746
913,1254,1,4613
914,1253,1,4560
915,1252,1,4520
916,1251,1,3346
917,1250,1,2253
918,1249,1,2927
919,1248,1,4878
920,1247,1,4852
921,1246,1,4585
922,1245,1,4477
923,1244,1,3654
924,1243,1,2411
925,1242,1,3054
926,1241,1,4696
927,1240,1,5033
928,1239,1,4948
929,1238,1,4636
930,1237,1,3539
931,1236,1,2371
932,1235,1,2816
933,1234,1,4493
934,1233,1,4678
935,1232,1,4737
936,1231,1,4775
937,1230,1,3658
938,1229,1,2260
939,1228,1,3343
940,1227,1,4640
941,1226,1,4694
942,1225,1,4771
943,1224,1,4173
944,1223,1,3046
945,1222,1,2260
946,1221,1,2876
947,1220,1,4774
948,1219,1,5009
949,1218,1,5369
950,1217,1,5020
951,1216,1,3935
952,1215,1,2795
953,1214,1,3795
954,1213,1,5489
955,1212,1,5680
956,1211,1,5383
957,1210,1,4890
958,1209,1,3872
959,1208,1,2790
960,1207,1,3524
961,1206,1,4903
962,1205,1,5160
963,1204,1,5194
964,1203,1,5142
965,1202,1,3836
966,1201,1,2737
967,1200,1,3386
968,1199,1,4816
969,1198,1,4734
970,1197,1,4761
971,1196,1,4277
972,1195,1,3563
973,1194,1,2401
974,1193,1,2877
975,1192,1,4448
976,1191,1,4525
977,1190,1,4533
978,1189,1,4431
979,1188,1,3456
980,1187,1,2162
981,1186,1,2786
982,1185,1,4172
983,1184,1,4255
984,1183,1,4154
985,1182,1,3803
986,1181,1,2950
987,1180,1,1909
988,1179,1,2506
989,1178,1,3325
990,1177,1,4086
991,1176,1,3716
992,1175,1,3702
993,1174,1,2959
994,1173,1,2006
995,1172,1,2479
996,1171,1,3501
997,1170,1,3985
998,1169,1,3920
999,1168,1,3868
1000,1167,1,2921
1001,1166,1,1655
1002,1165,1,2229
1003,1164,1,3660
1004,1163,1,3898
1005,1162,1,3912
1006,1161,1,3604
1007,1160,1,2970
1008,1159,1,1546
1009,1158,1,1944
1010,1157,1,3608
1011,1156,1,3514
1012,1155,1,3344
1013,1154,1,3292
1014,1153,1,2469
1015,1152,1,1296
1016,1151,1,1546
1017,1150,1,2948
1018,1149,1,3077
1019,1148,1,3028
1020,1147,1,2738
1021,1146,1,2147
1022,1145,1,1277
1023,1144,1,1606
1024,1143,1,2504
1025,1142,1,2218
1026,1141,1,3024
1027,1140,1,2951
1028,1139,1,2401
1029,1138,1,1242
1030,1137,1,1511
1031,1136,1,2934
1032,1135,1,3003
1033,1134,1,3073
1034,1133,1,2933
1035,1132,1,2468
1036,1131,1,1355
1037,1130,1,1553
1038,1129,1,2902
1039,1128,1,2899
1040,1127,1,2986
1041,1126,1,2964
1042,1125,1,2433
1043,1124,1,1280
1044,1123,1,1603
1045,1122,1,3154
1046,1121,1,3084
1047,1120,1,2983
1048,1119,1,2849
1049,1118,1,2420
1050,1117,1,1300
1051,1116,1,1526
1052,1115,1,2872
1053,1114,1,2914
1054,1113,1,2843
1055,1112,1,2649
1056,1111,1,2042
1057,1110,1,1225
1058,1109,1,1562
1059,1108,1,2751
1060,1107,1,2634
1061,1106,1,2704
1062,1105,1,2670
1063,1104,1,2073
1064,1103,1,1240
1065,1102,1,1530
1066,1101,1,2392
1067,1100,1,2675
1068,1099,1,2755
1069,1098,1,2608
1070,1097,1,2163
1071,1096,1,1304
1072,1095,1,1969
1073,1094,1,2985
1074,1093,1,3087
1075,1092,1,3047
1076,1091,1,2961
1077,1090,1,2293
1078,1089,1,1261
1079,1088,1,1676
1080,1087,1,1786
1081,1086,1,3252
1082,1085,1,3082
1083,1084,1,2721
1084,1083,1,2217
1085,1082,1,1271
1086,1081,1,1742
1087,1080,1,2293
1088,1079,1,3155
1089,1078,1,3159
1090,1077,1,3054
1091,1076,1,2440
1092,1075,1,1532
1093,1074,1,2247
1094,1073,1,3570
1095,1072,1,3524
1096,1071,1,3471
1097,1070,1,3303
1098,1069,1,2560
1099,1068,1,1470
1100,1067,1,2234
1101,1066,1,3504
1102,1065,1,3984
1103,1064,1,3746
1104,1063,1,3524
1105,1062,1,2639
1106,1061,1,1523
1107,1060,1,2425
1108,1059,1,3671
1109,1058,1,3669
1110,1057,1,3537
1111,1056,1,3413
1112,1055,1,2699
1113,1054,1,1829
1114,1053,1,2379
1115,1052,1,3637
1116,1051,1,3775
1117,1050,1,3572
1118,1049,1,3605
1119,1048,1,2774
1120,1047,1,1780
1121,1046,1,2469
1122,1045,1,3881
1123,1044,1,3767
1124,1043,1,4082
1125,1042,1,4047
1126,1041,1,2877
1127,1040,1,2073
1128,1039,1,2759
1129,1038,1,3817
1130,1037,1,3949
1131,1036,1,3867
1132,1035,1,3621
1133,1034,1,2978
1134,1033,1,1992
1135,1032,1,2851
1136,1031,1,4390
1137,1030,1,3886
1138,1029,1,3424
1139,1028,1,4207
1140,1027,1,3345
1141,1026,1,2128
1142,1025,1,2205
1143,1024,1,4091
1144,1023,1,4223
1145,1022,1,4361
1146,1021,1,4263
1147,1020,1,3341
1148,1019,1,2278
1149,1018,1,3097
1150,1017,1,4185
1151,1016,1,4477
1152,1015,1,4354
1153,1014,1,4194
1154,1013,1,3240
1155,1012,1,2424
1156,1011,1,3168
1157,1010,1,4709
1158,1009,1,4634
1159,1008,1,4545
1160,1007,1,4532
1161,1006,1,3317
1162,1005,1,2449
1163,1004,1,2893
1164,1003,1,4170
1165,1002,1,4277
1166,1001,1,3588
1167,1000,1,3141
1168,999,1,2658
1169,998,1,2391
1170,997,1,3202
1171,996,1,4349
1172,995,1,4886
1173,994,1,4555
1174,993,1,4477
1175,992,1,3577
1176,991,1,2430
1177,990,1,3449
1178,989,1,4955
1179,988,1,4475
1180,987,1,4595
1181,986,1,4451
1182,985,1,3418
1183,984,1,2605
1184,983,1,3483
1185,982,1,4651
1186,981,1,4029
1187,980,1,4282
1188,979,1,4138
1189,978,1,4130
1190,977,1,2581
1191,976,1,3355
1192,975,1,4482
1193,974,1,4584
1194,973,1,4106
1195,972,1,3378
1196,971,1,2446
1197,970,1,1447
1198,969,1,1326
1199,968,1,1609
1200,967,1,2481
1201,966,1,2798
1202,965,1,2809
1203,964,1,2216
1204,963,1,1546
1205,962,1,1339
1206,961,1,1709
1207,960,1,3389
1208,959,1,3391
1209,958,1,3698
1210,957,1,3511
1211,956,1,2279
1212,955,1,2822
1213,954,1,4240
1214,953,1,4319
1215,952,1,4224
1216,951,1,3797
1217,950,1,3190
1218,949,1,1998
1219,948,1,2515
1220,947,1,3950
1221,946,1,4033
1222,945,1,4269
1223,944,1,4124
1224,943,1,3228
1225,942,1,2287
1226,941,1,2946
1227,940,1,4608
1228,939,1,4786
1229,938,1,4724
1230,937,1,4417
1231,936,1,3580
1232,935,1,2345
1233,934,1,3170
1234,933,1,4862
1235,932,1,4600
1236,931,1,4705
1237,930,1,4723
1238,929,1,3969
1239,928,1,2994
1240,927,1,3162
1241,926,1,4949
1242,925,1,5092
1243,924,1,4767
1244,923,1,4625
1245,922,1,3738
1246,921,1,2739
1247,920,1,3923
1248,919,1,5341
1249,918,1,5114
1250,917,1,4896
1251,916,1,4502
1252,915,1,3729
1253,914,1,2388
1254,913,1,3405
1255,912,1,5176
1256,911,1,5429
1257,910,1,5120
1258,909,1,4993
1259,908,1,4148
1260,907,1,2763
1261,906,1,3599
1262,905,1,5542
1263,904,1,5378
1264,903,1,5536
1265,902,1,4984
1266,901,1,4130
1267,900,1,2818
1268,899,1,3978
1269,898,1,5502
1270,897,1,5740
1271,896,1,5635
1272,895,1,5375
1273,894,1,4273
1274,893,1,3223
1275,892,1,3956
1276,891,1,5895
1277,890,1,6152
1278,889,1,5906
1279,888,1,6300
1280,887,1,4915
1281,886,1,3218
1282,885,1,4429
1283,884,1,5739
1284,883,1,6220
1285,882,1,6238
1286,881,1,6226
1287,880,1,4364
1288,879,1,2882
1289,878,1,4010
1290,877,1,6084
1291,876,1,5874
1292,875,1,5719
1293,874,1,5003
1294,873,1,3605
1295,872,1,2811
1296,871,1,3567
1297,870,1,5237
1298,869,1,6154
1299,868,1,5895
1300,867,1,5858
1301,866,1,5034
1302,865,1,3613
1303,864,1,4389
1304,863,1,6278
1305,862,1,6836
1306,861,1,6731
1307,860,1,6287
1308,859,1,5089
1309,858,1,3812
1310,857,1,5290
1311,856,1,7161
1312,855,1,7352
1313,854,1,7218
1314,853,1,7040
1315,852,1,5367
1316,851,1,4021
1317,850,1,5397
1318,849,1,7605
1319,848,1,7614
1320,847,1,7984
1321,846,1,7040
1322,845,1,5628
1323,844,1,3926
1324,843,1,5479
1325,842,1,6670
1326,841,1,6783
1327,840,1,7105
1328,839,1,6877
1329,838,1,5460
1330,837,1,3648
1331,836,1,4917
1332,835,1,6980
1333,834,1,6702
1334,833,1,6699
1335,832,1,6001
1336,831,1,5094
1337,830,1,3179
1338,829,1,4169
1339,828,1,6392
1340,827,1,5878
1341,826,1,5800
1342,825,1,5690
1343,824,1,4314
1344,823,1,2948
1345,822,1,3864
1346,821,1,5499
1347,820,1,5790
1348,819,1,5720
1349,818,1,5692
1350,817,1,4082
1351,816,1,2716
1352,815,1,3430
1353,814,1,4353
1354,813,1,5525
1355,812,1,5407
1356,811,1,4994
1357,810,1,3835
1358,809,1,2511
1359,808,1,3371
1360,807,1,5226
1361,806,1,5139
1362,805,1,5051
1363,804,1,4787
1364,803,1,3956
1365,802,1,2303
1366,801,1,3011
1367,800,1,4896
1368,799,1,4952
1369,798,1,4570
1370,797,1,4542
1371,796,1,3383
1372,795,1,1922
1373,794,1,2404
1374,793,1,4576
1375,792,1,4727
1376,791,1,4639
